timestamp,src_ip,dst_ip,protocol,src_port,dst_port,bytes_in,bytes_out,packets_in,packets_out,flow_duration_ms,flow_packets_s,flow_bytes_s,is_urgent,is_fin,is_syn,is_rst,is_push,is_ack,is_uneq,is_no,is_mix,is_srv_rto,is_client_error,is_srv_error,is_srv_count_response,is_srv_count_error,attack_type
2026-02-17 11:10:01,10.0.0.25,192.168.1.10,TCP,54340,80,3200,2800,180,160,3200,56.25,1875.0,1,1,0,1,1,1,0,0,0,0,0,0,85,22,0,WEB ATTACK - BRUTE FORCE
2026-02-17 11:10:02,10.0.0.26,192.168.1.10,TCP,54341,80,3250,2850,185,165,3150,58.73,19206.3,1,1,0,1,1,1,0,0,0,0,0,0,88,23,0,WEB ATTACK - BRUTE FORCE
2026-02-17 11:10:03,10.0.0.27,192.168.1.10,TCP,54342,80,3300,2900,190,170,3100,61.29,19677.4,1,1,0,1,1,1,0,0,0,0,0,0,92,24,0,WEB ATTACK - BRUTE FORCE
2026-02-17 11:10:04,10.0.0.28,192.168.1.10,TCP,54343,80,3350,2950,195,175,3050,63.93,20163.9,1,1,0,1,1,1,0,0,0,0,0,0,95,25,0,WEB ATTACK - BRUTE FORCE
2026-02-17 11:10:05,10.0.0.29,192.168.1.10,TCP,54344,80,3400,3000,200,180,3000,66.67,20666.7,1,1,0,1,1,1,0,0,0,0,0,0,98,26,0,WEB ATTACK - BRUTE FORCE
2026-02-17 11:10:06,192.168.1.150,192.168.1.10,TCP,8080,443,250,200,2,2,5000,0.4,0.09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BENIGN
2026-02-17 11:10:07,192.168.1.151,192.168.1.10,UDP,53,53,68,68,1,1,3000,0.333,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2026-02-17 11:10:08,192.168.1.152,192.168.1.10,ICMP,0,0,64,0,1,0,100,10.0,640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
2026-02-17 11:10:09,10.0.0.30,192.168.1.10,TCP,54345,80,3450,3050,205,185,2950,69.49,21932.2,1,1,0,1,1,1,0,0,0,0,0,0,102,27,0,WEB ATTACK - BRUTE FORCE
2026-02-17 11:15:45,10.0.0.32,192.168.1.10,TCP,54397,80,4800,4400,280,260,1800,155.56,5166.7,1,1,0,1,1,1,0,0,0,0,0,0,245,68,0,WEB ATTACK - BRUTE FORCE
2026-02-17 11:15:46,192.168.1.200,192.168.1.10,TCP,8081,8081,150,120,1,1,2000,0.5,0.075,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,BENIGN
